load_zone	timestamp	ZoneTotalCentralDispatch	ZoneTotalDistributedDispatch	TXPowerNet	zone_demand_mw
Anhui	2018020100	29627.2	0	-8709.63	20917.5
Anhui	2018020104	21185.3	0	-1793.9	19391.4
Anhui	2018020108	24399.5	0	-4289.95	20109.6
Anhui	2018020112	29821.3	0	-5582.11	24239.2
Anhui	2018020116	29627.2	0	-6555.03	23072.1
Anhui	2018020120	29627.2	0	-6869.25	22757.9
Anhui	2018020900	29627.2	0	-8709.63	20917.5
Anhui	2018020904	21185.3	0	-1793.9	19391.4
Anhui	2018020908	24399.5	0	-4289.95	20109.6
Anhui	2018020912	29821.3	0	-5582.11	24239.2
Anhui	2018020916	29627.2	0	-6555.03	23072.1
Anhui	2018020920	29627.2	0	-6869.25	22757.9
Anhui	2023050400	29488.5	0	-7235	22253.5
Anhui	2023050404	23808	0	-3178.15	20629.8
Anhui	2023050408	29488.5	0	-8094.57	21393.9
Anhui	2023050412	30683.1	0	-4895.88	25787.3
Anhui	2023050416	29625.8	0	-5080.13	24545.7
Anhui	2023050420	29625.8	0	-5414.41	24211.4
Anhui	2023050700	29488.5	0	-7235	22253.5
Anhui	2023050704	23808	0	-3178.15	20629.8
Anhui	2023050708	29488.5	0	-8094.57	21393.9
Anhui	2023050712	30850	0	-5062.7	25787.3
Anhui	2023050716	29625.8	0	-5080.13	24545.7
Anhui	2023050720	29625.8	0	-5414.41	24211.4
Anhui	2028060400	36133.6	0	-7127.6	29006
Anhui	2028060404	32308.6	0	-5418.91	26889.7
Anhui	2028060408	32308.6	0	-4422.99	27885.6
Anhui	2028060412	37104.4	0	-3492.28	33612.2
Anhui	2028060416	36141.7	0	-4147.88	31993.8
Anhui	2028060420	37157.7	0	-5599.6	31558.1
Anhui	2028061000	36134.2	0	-7128.11	29006
Anhui	2028061004	32308.6	0	-5418.91	26889.7
Anhui	2028061008	32308.6	0	-4422.99	27885.6
Anhui	2028061012	37170.2	0	-3558.08	33612.2
Anhui	2028061016	36187.5	0	-4193.74	31993.8
Anhui	2028061020	37108.9	0	-5550.77	31558.1
Anhui	2033070900	31414.7	0	907.463	32322.2
Anhui	2033070904	30210.6	0	-246.707	29963.9
Anhui	2033070908	30210.6	0	863.067	31073.7
Anhui	2033070912	37531.7	0	-76.7682	37454.9
Anhui	2033070916	36027.4	0	-375.911	35651.5
Anhui	2033070920	35740	0	-574.004	35166
Anhui	2033072100	33514.7	0	-1192.53	32322.2
Anhui	2033072104	30210.6	0	-246.707	29963.9
Anhui	2033072108	30210.6	0	863.067	31073.7
Anhui	2033072112	38154.9	0	-700	37454.9
Anhui	2033072116	37762.5	0	-2111.02	35651.5
Anhui	2033072120	38644.6	0	-3478.65	35166
Anhui	2038090100	43188.2	0	-5940.89	37247.3
Anhui	2038090104	39989.3	0	-5459.61	34529.7
Anhui	2038090108	39989.3	0	-4180.73	35808.6
Anhui	2038090112	49419.2	0	-6257.01	43162.2
Anhui	2038090116	48602.9	0	-7518.88	41084
Anhui	2038090120	49605.6	0	-9081.09	40524.5
Anhui	2038091000	44190.9	0	-6943.57	37247.3
Anhui	2038091004	40152.7	0	-5622.94	34529.7
Anhui	2038091008	40116.3	0	-4307.67	35808.6
Anhui	2038091012	45055.9	0	-1893.76	43162.2
Anhui	2038091016	44613.6	0	-3529.64	41084
Anhui	2038091020	46000.6	0	-5476.14	40524.5
Beijing	2018020100	9844.2	0	2848.44	12692.6
Beijing	2018020104	9844.2	0	1922.37	11766.6
Beijing	2018020108	9844.2	0	2358.17	12202.4
Beijing	2018020112	10418.6	0	4289.59	14708.2
Beijing	2018020116	9844.2	0	4155.84	14000
Beijing	2018020120	9844.2	0	3965.18	13809.4
Beijing	2018020900	9844.2	0	2848.44	12692.6
Beijing	2018020904	9844.2	0	1922.37	11766.6
Beijing	2018020908	9844.2	0	2358.17	12202.4
Beijing	2018020912	10418.6	0	4289.59	14708.2
Beijing	2018020916	9844.2	0	4155.84	14000
Beijing	2018020920	9844.2	0	3965.18	13809.4
Beijing	2023050400	10610.3	0	2072.05	12682.4
Beijing	2023050404	10610.3	0	1146.72	11757.1
Beijing	2023050408	10610.3	0	1582.17	12192.5
Beijing	2023050412	12003.2	0	2693.12	14696.3
Beijing	2023050416	11010	0	2978.71	13988.7
Beijing	2023050420	11010	0	2788.2	13798.2
Beijing	2023050700	10610.3	0	2072.05	12682.4
Beijing	2023050704	10610.3	0	1146.72	11757.1
Beijing	2023050708	10610.3	0	1582.17	12192.5
Beijing	2023050712	12148.5	0	2547.8	14696.3
Beijing	2023050716	11010	0	2978.71	13988.7
Beijing	2023050720	11010	0	2788.2	13798.2
Beijing	2028060400	17198.8	0	-1228.66	15970.1
Beijing	2028060404	13381.4	0	1423.54	14804.9
Beijing	2028060408	13381.4	0	1971.87	15353.3
Beijing	2028060412	18190.3	0	315.851	18506.2
Beijing	2028060416	17226.1	0	389.087	17615.1
Beijing	2028060420	18198.9	0	-823.627	17375.2
Beijing	2028061000	17198.8	0	-1228.66	15970.1
Beijing	2028061004	13381.4	0	1423.54	14804.9
Beijing	2028061008	13381.4	0	1971.87	15353.3
Beijing	2028061012	18212	0	294.207	18506.2
Beijing	2028061016	17232.2	0	382.976	17615.1
Beijing	2028061020	18190.9	0	-815.676	17375.2
Beijing	2033070900	17552.1	0	0	17552.1
Beijing	2033070904	15543.7	0	727.709	16271.4
Beijing	2033070908	15543.7	0	1330.35	16874.1
Beijing	2033070912	20377	0	-37.7579	20339.3
Beijing	2033070916	19401.1	0	-41.1582	19360
Beijing	2033070920	20346.8	0	-1250.52	19096.3
Beijing	2033072100	17552.1	0	0	17552.1
Beijing	2033072104	15543.7	0	727.709	16271.4
Beijing	2033072108	15543.7	0	1330.35	16874.1
Beijing	2033072112	20339.3	0	0	20339.3
Beijing	2033072116	19367.1	0	-7.12651	19360
Beijing	2033072120	20338.7	0	-1242.39	19096.3
Beijing	2038090100	18471.9	0	1754.73	20226.6
Beijing	2038090104	14663.9	0	4086.96	18750.8
Beijing	2038090108	14664.8	0	4780.5	19445.3
Beijing	2038090112	19452.3	0	3986.18	23438.5
Beijing	2038090116	18476.2	0	3833.77	22310
Beijing	2038090120	19460.6	0	2545.53	22006.2
Beijing	2038091000	18472.7	0	1753.87	20226.6
Beijing	2038091004	16754.9	0	1995.91	18750.8
Beijing	2038091008	14654.5	0	4790.85	19445.3
Beijing	2038091012	19458.8	0	3979.7	23438.5
Beijing	2038091016	18500.2	0	3809.84	22310
Beijing	2038091020	19462.3	0	2543.9	22006.2
Chongqing	2018020100	9367.61	0	3057.81	12425.4
Chongqing	2018020104	4299.89	0	7218.96	11518.9
Chongqing	2018020108	4299.89	0	7645.59	11945.5
Chongqing	2018020112	11341.9	0	3056.69	14398.6
Chongqing	2018020116	10345.4	0	3359.88	13705.3
Chongqing	2018020120	10345.4	0	3173.23	13518.7
Chongqing	2018020900	9367.61	0	3057.81	12425.4
Chongqing	2018020904	4299.89	0	7218.96	11518.9
Chongqing	2018020908	4299.89	0	7645.59	11945.5
Chongqing	2018020912	11341.9	0	3056.69	14398.6
Chongqing	2018020916	10345.4	0	3359.88	13705.3
Chongqing	2018020920	10345.4	0	3173.23	13518.7
Chongqing	2023050400	10195.8	0	4057.23	14253
Chongqing	2023050404	8588.28	0	4624.84	13213.1
Chongqing	2023050408	10195.8	0	3506.69	13702.5
Chongqing	2023050412	23701.4	0	-7185.04	16516.4
Chongqing	2023050416	15964.9	0	-243.715	15721.2
Chongqing	2023050420	10195.8	0	5311.25	15507.1
Chongqing	2023050700	10195.8	0	4057.23	14253
Chongqing	2023050704	8588.28	0	4624.84	13213.1
Chongqing	2023050708	10195.8	0	3506.69	13702.5
Chongqing	2023050712	19884	0	-3367.66	16516.4
Chongqing	2023050716	15964.9	0	-243.715	15721.2
Chongqing	2023050720	10195.8	0	5311.25	15507.1
Chongqing	2028060400	34893.4	0	-14808.8	20084.6
Chongqing	2028060404	30753.5	0	-12134.3	18619.2
Chongqing	2028060408	21233.8	0	-1925.04	19308.8
Chongqing	2028060412	54041.1	0	-30767.2	23273.9
Chongqing	2028060416	49189.2	0	-27035.9	22153.3
Chongqing	2028060420	50205	0	-28353.3	21851.6
Chongqing	2028061000	34820.4	0	-14735.8	20084.6
Chongqing	2028061004	30753.5	0	-12134.3	18619.2
Chongqing	2028061008	21233.8	0	-1925.04	19308.8
Chongqing	2028061012	54003.9	0	-30730	23273.9
Chongqing	2028061016	50092.8	0	-27939.5	22153.3
Chongqing	2028061020	54003.2	0	-32151.6	21851.6
Chongqing	2033070900	23945.1	0	-855.357	23089.8
Chongqing	2033070904	23905.6	0	-2500.49	21405.1
Chongqing	2033070908	23905.6	0	-1707.7	22197.9
Chongqing	2033070912	43101.7	0	-16345.3	26756.4
Chongqing	2033070916	33044.2	0	-7576.08	25468.1
Chongqing	2033070920	39186.4	0	-14065.1	25121.3
Chongqing	2033072100	23953.9	0	-864.087	23089.8
Chongqing	2033072104	23905.6	0	-2500.49	21405.1
Chongqing	2033072108	23905.6	0	-1707.7	22197.9
Chongqing	2033072112	43124	0	-16367.6	26756.4
Chongqing	2033072116	34699.7	0	-9231.57	25468.1
Chongqing	2033072120	43106.6	0	-17985.3	25121.3
Chongqing	2038090100	39597.9	0	-12989.7	26608.1
Chongqing	2038090104	29259.7	0	-4592.93	24666.8
Chongqing	2038090108	29240.4	0	-3660.02	25580.4
Chongqing	2038090112	59924.2	0	-29090.7	30833.5
Chongqing	2038090116	49000.2	0	-19651.3	29348.9
Chongqing	2038090120	70449.2	0	-41500	28949.2
Chongqing	2038091000	40798.5	0	-14190.3	26608.1
Chongqing	2038091004	32408.8	0	-7742.01	24666.8
Chongqing	2038091008	32365.3	0	-6784.94	25580.4
Chongqing	2038091012	66755.1	0	-35921.6	30833.5
Chongqing	2038091016	57100.3	0	-27751.5	29348.9
Chongqing	2038091020	60930.7	0	-31981.5	28949.2
East_Inner_Mongolia	2018020100	9521.38	0	-447.19	9074.19
East_Inner_Mongolia	2018020104	8412.12	0	0	8412.12
East_Inner_Mongolia	2018020108	8723.68	0	0	8723.68
East_Inner_Mongolia	2018020112	17441.6	0	-6926.48	10515.2
East_Inner_Mongolia	2018020116	17441.6	0	-7432.77	10008.9
East_Inner_Mongolia	2018020120	17441.6	0	-7569.08	9872.56
East_Inner_Mongolia	2018020900	9521.38	0	-447.19	9074.19
East_Inner_Mongolia	2018020904	8412.12	0	0	8412.12
East_Inner_Mongolia	2018020908	8723.68	0	0	8723.68
East_Inner_Mongolia	2018020912	17441.6	0	-6926.48	10515.2
East_Inner_Mongolia	2018020916	17441.6	0	-7432.77	10008.9
East_Inner_Mongolia	2018020920	17441.6	0	-7569.08	9872.56
East_Inner_Mongolia	2023050400	14035.9	0	-4026.42	10009.5
East_Inner_Mongolia	2023050404	9279.17	0	0	9279.17
East_Inner_Mongolia	2023050408	11293.9	0	-1671.08	9622.85
East_Inner_Mongolia	2023050412	18383.4	0	-6784.43	11599
East_Inner_Mongolia	2023050416	17424.7	0	-6384.2	11040.5
East_Inner_Mongolia	2023050420	17424.7	0	-6534.56	10890.1
East_Inner_Mongolia	2023050700	14035.9	0	-4026.42	10009.5
East_Inner_Mongolia	2023050704	9279.17	0	0	9279.17
East_Inner_Mongolia	2023050708	11293.9	0	-1671.08	9622.85
East_Inner_Mongolia	2023050712	18383.4	0	-6784.43	11599
East_Inner_Mongolia	2023050716	17424.7	0	-6384.2	11040.5
East_Inner_Mongolia	2023050720	17424.7	0	-6534.56	10890.1
East_Inner_Mongolia	2028060400	21086.5	0	-7117.56	13968.9
East_Inner_Mongolia	2028060404	21086.5	0	-8136.75	12949.7
East_Inner_Mongolia	2028060408	21086.5	0	-7657.13	13429.3
East_Inner_Mongolia	2028060412	25881.5	0	-9694.32	16187.1
East_Inner_Mongolia	2028060416	24903.9	0	-9496.11	15407.8
East_Inner_Mongolia	2028060420	25881.5	0	-10683.5	15197.9
East_Inner_Mongolia	2028061000	21086.5	0	-7117.56	13968.9
East_Inner_Mongolia	2028061004	21086.5	0	-8136.75	12949.7
East_Inner_Mongolia	2028061008	21086.5	0	-7657.13	13429.3
East_Inner_Mongolia	2028061012	25881.5	0	-9694.32	16187.1
East_Inner_Mongolia	2028061016	24903.9	0	-9496.11	15407.8
East_Inner_Mongolia	2028061020	25881.5	0	-10683.5	15197.9
East_Inner_Mongolia	2033070900	20487.4	0	-4490.39	15997
East_Inner_Mongolia	2033070904	20487.4	0	-5657.55	14829.8
East_Inner_Mongolia	2033070908	20487.4	0	-5108.3	15379.1
East_Inner_Mongolia	2033070912	25282.4	0	-6745.09	18537.3
East_Inner_Mongolia	2033070916	24304.8	0	-6660.03	17644.7
East_Inner_Mongolia	2033070920	24304.8	0	-6900.33	17404.4
East_Inner_Mongolia	2033072100	20487.4	0	-4490.39	15997
East_Inner_Mongolia	2033072104	20487.4	0	-5657.55	14829.8
East_Inner_Mongolia	2033072108	20487.4	0	-5108.3	15379.1
East_Inner_Mongolia	2033072112	25282.4	0	-6745.09	18537.3
East_Inner_Mongolia	2033072116	22510.7	0	-4865.93	17644.7
East_Inner_Mongolia	2033072120	25282.4	0	-7877.93	17404.4
East_Inner_Mongolia	2038090100	23527.8	0	-5093.25	18434.6
East_Inner_Mongolia	2038090104	21813.9	0	-4724.37	17089.5
East_Inner_Mongolia	2038090108	22291.7	0	-4569.24	17722.5
East_Inner_Mongolia	2038090112	24505.4	0	-3143.47	21361.9
East_Inner_Mongolia	2038090116	23527.8	0	-3194.41	20333.4
East_Inner_Mongolia	2038090120	24505.4	0	-4448.92	20056.5
East_Inner_Mongolia	2038091000	23527.8	0	-5093.25	18434.6
East_Inner_Mongolia	2038091004	19710.4	0	-2620.86	17089.5
East_Inner_Mongolia	2038091008	19710.4	0	-1987.91	17722.5
East_Inner_Mongolia	2038091012	24505.4	0	-3143.47	21361.9
East_Inner_Mongolia	2038091016	23527.8	0	-3194.41	20333.4
East_Inner_Mongolia	2038091020	24505.4	0	-4448.92	20056.5
Fujian	2018020100	25685.3	0	0	25685.3
Fujian	2018020104	23811.3	0	0	23811.3
Fujian	2018020108	24693.2	0	0	24693.2
Fujian	2018020112	35353.5	0	-5589.37	29764.1
Fujian	2018020116	31277.1	0	-2946.02	28331
Fujian	2018020120	31277.1	0	-3331.85	27945.2
Fujian	2018020900	25685.3	0	0	25685.3
Fujian	2018020904	23811.3	0	0	23811.3
Fujian	2018020908	24693.2	0	0	24693.2
Fujian	2018020912	35353.5	0	-5589.37	29764.1
Fujian	2018020916	31277.1	0	-2946.02	28331
Fujian	2018020920	31277.1	0	-3331.85	27945.2
Fujian	2023050400	27667.2	0	0	27667.2
Fujian	2023050404	25648.6	0	0	25648.6
Fujian	2023050408	26598.5	0	0	26598.5
Fujian	2023050412	38205.9	0	-6145.16	32060.7
Fujian	2023050416	37186.8	0	-6669.81	30517
Fujian	2023050420	33167	0	-3065.53	30101.4
Fujian	2023050700	27667.2	0	0	27667.2
Fujian	2023050704	25648.6	0	0	25648.6
Fujian	2023050708	26598.5	0	0	26598.5
Fujian	2023050712	38265.2	0	-6204.53	32060.7
Fujian	2023050716	37186.8	0	-6669.81	30517
Fujian	2023050720	33167	0	-3065.53	30101.4
Fujian	2028060400	39575.1	0	-2618.22	36956.9
Fujian	2028060404	39527.1	0	-5266.58	34260.5
Fujian	2028060408	39527.1	0	-3997.67	35529.4
Fujian	2028060412	44594.8	0	-1769.23	42825.6
Fujian	2028060416	43664.2	0	-2900.56	40763.6
Fujian	2028060420	44581.9	0	-4373.44	40208.5
Fujian	2028061000	39694.8	0	-2737.95	36956.9
Fujian	2028061004	39527.1	0	-5266.58	34260.5
Fujian	2028061008	39527.1	0	-3997.67	35529.4
Fujian	2028061012	44363	0	-1537.4	42825.6
Fujian	2028061016	43488.1	0	-2724.49	40763.6
Fujian	2028061020	44435.4	0	-4226.92	40208.5
Fujian	2033070900	36007.7	0	5579.86	41587.6
Fujian	2033070904	35587.3	0	2965.99	38553.3
Fujian	2033070908	35587.3	0	4393.88	39981.2
Fujian	2033070912	40681.9	0	7509.64	48191.6
Fujian	2033070916	39834.5	0	6036.73	45871.2
Fujian	2033070920	40763.3	0	4483.27	45246.5
Fujian	2033072100	36505.7	0	5081.86	41587.6
Fujian	2033072104	35587.3	0	2965.99	38553.3
Fujian	2033072108	35587.3	0	4393.88	39981.2
Fujian	2033072112	40912.1	0	7279.47	48191.6
Fujian	2033072116	39778.2	0	6093.04	45871.2
Fujian	2033072120	40595.2	0	4651.32	45246.5
Fujian	2038090100	52416.7	0	-4492.13	47924.5
Fujian	2038090104	44427.9	0	0	44427.9
Fujian	2038090108	46073.4	0	0	46073.4
Fujian	2038090112	63255.4	0	-7720.53	55534.9
Fujian	2038090116	59383	0	-6522.03	52861
Fujian	2038090120	60736.9	0	-8595.81	52141.1
Fujian	2038091000	37908.2	0	10016.3	47924.5
Fujian	2038091004	38759.9	0	5668.05	44427.9
Fujian	2038091008	40498.4	0	5574.94	46073.4
Fujian	2038091012	51107.8	0	4427.1	55534.9
Fujian	2038091016	57721.8	0	-4860.79	52861
Fujian	2038091020	57648.5	0	-5507.45	52141.1
Gansu	2018020100	14455.4	0	0	14455.4
Gansu	2018020104	12463.7	0	936.98	13400.7
Gansu	2018020108	13781.4	0	115.627	13897
Gansu	2018020112	17191.8	0	-440.996	16750.8
Gansu	2018020116	17191.8	0	-1247.52	15944.3
Gansu	2018020120	16705.7	0	-978.515	15727.2
Gansu	2018020900	14455.4	0	0	14455.4
Gansu	2018020904	12463.7	0	936.98	13400.7
Gansu	2018020908	13781.4	0	115.627	13897
Gansu	2018020912	17191.8	0	-440.996	16750.8
Gansu	2018020916	17191.8	0	-1247.52	15944.3
Gansu	2018020920	16705.7	0	-978.515	15727.2
Gansu	2023050400	16744.9	0	-543.699	16201.2
Gansu	2023050404	15038.9	0	-19.7713	15019.1
Gansu	2023050408	16582.6	0	-1007.27	15575.4
Gansu	2023050412	19627.4	0	-853.495	18773.9
Gansu	2023050416	16744.9	0	1125.09	17870
Gansu	2023050420	16744.9	0	881.725	17626.6
Gansu	2023050700	16744.9	0	-543.699	16201.2
Gansu	2023050704	15038.9	0	-19.7713	15019.1
Gansu	2023050708	16582.6	0	-1007.27	15575.4
Gansu	2023050712	17753.3	0	1020.56	18773.9
Gansu	2023050716	16744.9	0	1125.09	17870
Gansu	2023050720	16744.9	0	881.725	17626.6
Gansu	2028060400	22409.3	0	1203.77	23613
Gansu	2028060404	19609.2	0	2280.96	21890.2
Gansu	2028060408	18631.6	0	4069.31	22701
Gansu	2028060412	26475	0	887.767	27362.8
Gansu	2028060416	26915.3	0	-870.05	26045.3
Gansu	2028060420	25126	0	564.609	25690.6
Gansu	2028061000	23613	0	0	23613
Gansu	2028061004	19609.2	0	2280.96	21890.2
Gansu	2028061008	19609.2	0	3091.71	22701
Gansu	2028061012	24561.1	0	2801.64	27362.8
Gansu	2028061016	23658.9	0	2386.38	26045.3
Gansu	2028061020	24625	0	1065.63	25690.6
Gansu	2033070900	24165.1	0	3349.95	27515
Gansu	2033070904	20883.5	0	4623.98	25507.5
Gansu	2033070908	19945.3	0	6506.92	26452.2
Gansu	2033070912	24792.3	0	7092.03	31884.4
Gansu	2033070916	23851.1	0	6498.13	30349.2
Gansu	2033070920	24838.1	0	5097.79	29935.9
Gansu	2033072100	23815.9	0	3699.15	27515
Gansu	2033072104	19995.1	0	5512.36	25507.5
Gansu	2033072108	19945.3	0	6506.92	26452.2
Gansu	2033072112	24763.8	0	7120.59	31884.4
Gansu	2033072116	23787.8	0	6561.37	30349.2
Gansu	2033072120	24901.9	0	5034.03	29935.9
Gansu	2038090100	22020.9	0	9686.77	31707.7
Gansu	2038090104	21754.6	0	7639.65	29394.3
Gansu	2038090108	21595.8	0	8887.09	30482.9
Gansu	2038090112	22579.5	0	14163.3	36742.8
Gansu	2038090116	21621.6	0	13352.1	34973.7
Gansu	2038090120	22790.5	0	11706.9	34497.4
Gansu	2038091000	23867.6	0	7840.05	31707.7
Gansu	2038091004	22031.8	0	7362.42	29394.3
Gansu	2038091008	21613.6	0	8869.37	30482.9
Gansu	2038091012	22583.5	0	14159.3	36742.8
Gansu	2038091016	21935.6	0	13038.1	34973.7
Gansu	2038091020	23825.9	0	10671.5	34497.4
Guangdong	2018020100	68752.7	0	4046.37	72799.1
Guangdong	2018020104	65816	0	1671.55	67487.6
Guangdong	2018020108	68752.7	0	1234.39	69987.1
Guangdong	2018020112	73496.4	0	10863.1	84359.5
Guangdong	2018020116	68752.7	0	11545	80297.7
Guangdong	2018020120	68752.7	0	10451.4	79204.2
Guangdong	2018020900	68752.7	0	4046.37	72799.1
Guangdong	2018020904	65816	0	1671.55	67487.6
Guangdong	2018020908	68752.7	0	1234.39	69987.1
Guangdong	2018020912	73496.4	0	10863.1	84359.5
Guangdong	2018020916	68752.7	0	11545	80297.7
Guangdong	2018020920	68752.7	0	10451.4	79204.2
Guangdong	2023050400	75654.9	0	0	75654.9
Guangdong	2023050404	70135	0	0	70135
Guangdong	2023050408	72732.6	0	0	72732.6
Guangdong	2023050412	82207.2	0	5461.64	87668.8
Guangdong	2023050416	80651.3	0	2796.41	83447.7
Guangdong	2023050420	77346.4	0	4964.84	82311.3
Guangdong	2023050700	75654.9	0	0	75654.9
Guangdong	2023050704	70135	0	0	70135
Guangdong	2023050708	72732.6	0	0	72732.6
Guangdong	2023050712	81713.4	0	5955.38	87668.8
Guangdong	2023050716	80651.3	0	2796.41	83447.7
Guangdong	2023050720	77346.4	0	4964.84	82311.3
Guangdong	2028060400	86522	0	10645.2	97167.2
Guangdong	2028060404	82638.8	0	7438.97	90077.7
Guangdong	2028060408	82638.8	0	10775.2	93413.9
Guangdong	2028060412	87528.8	0	25068.3	112597
Guangdong	2028060416	86564.8	0	20611	107176
Guangdong	2028060420	87603.6	0	18112.6	105716
Guangdong	2028061000	86525.1	0	10642.1	97167.2
Guangdong	2028061004	82638.8	0	7438.97	90077.7
Guangdong	2028061008	82638.8	0	10775.2	93413.9
Guangdong	2028061012	87446.9	0	25150.3	112597
Guangdong	2028061016	86520.2	0	20655.6	107176
Guangdong	2028061020	87530.4	0	18185.9	105716
Guangdong	2033070900	115421	0	-7782.28	107639
Guangdong	2033070904	114967	0	-15181.8	99785.2
Guangdong	2033070908	114967	0	-11486	103481
Guangdong	2033070912	120150	0	4581.25	124731
Guangdong	2033070916	119218	0	-492.03	118726
Guangdong	2033070920	119312	0	-2202.7	117109
Guangdong	2033072100	115359	0	-7720.3	107639
Guangdong	2033072104	114967	0	-15181.8	99785.2
Guangdong	2033072108	114967	0	-11486	103481
Guangdong	2033072112	120071	0	4660.56	124731
Guangdong	2033072116	119122	0	-395.794	118726
Guangdong	2033072120	119957	0	-2848.23	117109
Guangdong	2038090100	134525	0	-10484.7	124040
Guangdong	2038090104	134264	0	-19274.3	114990
Guangdong	2038090108	134264	0	-15015.4	119249
Guangdong	2038090112	139395	0	4342.91	143738
Guangdong	2038090116	138419	0	-1601.72	136817
Guangdong	2038090120	139431	0	-4477.22	134954
Guangdong	2038091000	138084	0	-14044	124040
Guangdong	2038091004	134268	0	-19277.7	114990
Guangdong	2038091008	134278	0	-15028.6	119249
Guangdong	2038091012	139077	0	4660.56	143738
Guangdong	2038091016	138094	0	-1276.96	136817
Guangdong	2038091020	139067	0	-4112.91	134954
Guangxi	2018020100	12821.6	0	7210.24	20031.8
Guangxi	2018020104	12671.6	0	5898.64	18570.3
Guangxi	2018020108	12671.6	0	6586.43	19258.1
Guangxi	2018020112	22485.1	0	727.726	23212.8
Guangxi	2018020116	22485.1	0	-389.929	22095.2
Guangxi	2018020120	22485.1	0	-690.836	21794.3
Guangxi	2018020900	12821.6	0	7210.24	20031.8
Guangxi	2018020904	12671.6	0	5898.64	18570.3
Guangxi	2018020908	12671.6	0	6586.43	19258.1
Guangxi	2018020912	22485.1	0	727.726	23212.8
Guangxi	2018020916	22485.1	0	-389.929	22095.2
Guangxi	2018020920	22485.1	0	-690.836	21794.3
Guangxi	2023050400	17639.8	0	4128.22	21768
Guangxi	2023050404	13861.2	0	6318.58	20179.8
Guangxi	2023050408	15130.6	0	5796.63	20927.2
Guangxi	2023050412	24858.9	0	365.843	25224.8
Guangxi	2023050416	23657.2	0	353.068	24010.2
Guangxi	2023050420	23657.2	0	26.0814	23683.2
Guangxi	2023050700	17639.8	0	4128.22	21768
Guangxi	2023050704	13861.2	0	6318.58	20179.8
Guangxi	2023050708	15130.6	0	5796.63	20927.2
Guangxi	2023050712	23781.6	0	1443.15	25224.8
Guangxi	2023050716	23657.2	0	353.068	24010.2
Guangxi	2023050720	23657.2	0	26.0814	23683.2
Guangxi	2028060400	26352.4	0	3733.13	30085.5
Guangxi	2028060404	26343.6	0	1546.81	27890.4
Guangxi	2028060408	25366	0	3557.38	28923.4
Guangxi	2028060412	31139.6	0	3723.41	34863
Guangxi	2028060416	30171.9	0	3012.55	33184.4
Guangxi	2028060420	31019.8	0	1712.67	32732.5
Guangxi	2028061000	26410.4	0	3675.13	30085.5
Guangxi	2028061004	26343.6	0	1546.81	27890.4
Guangxi	2028061008	25673.1	0	3250.36	28923.4
Guangxi	2028061012	31147.7	0	3715.33	34863
Guangxi	2028061016	30161.4	0	3023.05	33184.4
Guangxi	2028061020	31149.3	0	1583.26	32732.5
Guangxi	2033070900	24992.8	0	9327.34	34320.1
Guangxi	2033070904	24841.9	0	6974.18	31816.1
Guangxi	2033070908	24841.9	0	8152.55	32994.4
Guangxi	2033070912	29839.9	0	9930.2	39770.1
Guangxi	2033070916	28879.4	0	8975.83	37855.2
Guangxi	2033070920	28968.7	0	8370.93	37339.7
Guangxi	2033072100	24882.9	0	9437.18	34320.1
Guangxi	2033072104	24841.9	0	6974.18	31816.1
Guangxi	2033072108	24841.9	0	8152.55	32994.4
Guangxi	2033072112	29676.9	0	10093.1	39770.1
Guangxi	2033072116	28699	0	9156.16	37855.2
Guangxi	2033072120	29642.2	0	7697.48	37339.7
Guangxi	2038090100	34585.4	0	4964.27	39549.7
Guangxi	2038090104	30777.3	0	5886.78	36664.1
Guangxi	2038090108	30776.5	0	7245.55	38022
Guangxi	2038090112	35651.5	0	10178.6	45830.1
Guangxi	2038090116	34765.9	0	8857.56	43623.5
Guangxi	2038090120	35766.1	0	7263.29	43029.4
Guangxi	2038091000	35543.5	0	4006.19	39549.7
Guangxi	2038091004	30746.9	0	5917.21	36664.1
Guangxi	2038091008	30746.9	0	7275.14	38022
Guangxi	2038091012	35545.7	0	10284.4	45830.1
Guangxi	2038091016	34579.8	0	9043.7	43623.5
Guangxi	2038091020	35556	0	7473.4	43029.4
Guizhou	2018020100	14806.1	0	1281.3	16087.4
Guizhou	2018020104	14806.1	0	107.54	14913.7
Guizhou	2018020108	14806.1	0	659.897	15466
Guizhou	2018020112	31309.9	0	-12667.9	18642.1
Guizhou	2018020116	19446	0	-1701.57	17744.5
Guizhou	2018020120	14806.1	0	2696.72	17502.8
Guizhou	2018020900	14806.1	0	1281.3	16087.4
Guizhou	2018020904	14806.1	0	107.54	14913.7
Guizhou	2018020908	14806.1	0	659.897	15466
Guizhou	2018020912	31309.9	0	-12667.9	18642.1
Guizhou	2018020916	19446	0	-1701.57	17744.5
Guizhou	2018020920	14806.1	0	2696.72	17502.8
Guizhou	2023050400	14468.3	0	3494.93	17963.2
Guizhou	2023050404	14468.3	0	2184.31	16652.6
Guizhou	2023050408	14468.3	0	2801.07	17269.3
Guizhou	2023050412	32270	0	-11454.3	20815.7
Guizhou	2023050416	30949.3	0	-11135.8	19813.5
Guizhou	2023050420	30949.3	0	-11405.7	19543.6
Guizhou	2023050700	14468.3	0	3494.93	17963.2
Guizhou	2023050704	14468.3	0	2184.31	16652.6
